date,ema_indicator40,adj_close,average_true_range5,cumulative_return,sma_indicator25,ema_indicator20,sma_indicator5,ema_indicator10,ema_indicator45,volume,roc20,average_true_range45,low,close,ema_indicator15,ema_indicator5,average_true_range30,open,average_true_range50,acc_dist_index,sma_indicator20,sma_indicator10,ulcer_index45,average_true_range25,ema_indicator50,sma_indicator45,sma_indicator35,sma_indicator15,ema_indicator25,sma_indicator50,sma_indicator40,ema_indicator35,ema_indicator30,average_true_range40,high,sma_indicator30,average_true_range35
2015-03-17,30.724632840081437,28.953446999999997,0.6748538197374278,16.19866459343273,31.816999679999995,31.391584412321503,31.113499200000007,31.43250617665275,30.555395909826483,204092400,-0.6180082922631558,0.6985660648246225,31.4125,31.875,31.465651511688783,31.355336072249113,0.6967960198643396,31.475,0.6990260592000003,40934981.92619252,31.91787469999999,31.386749599999995,3.2188011571318813,0.6910044079013302,30.396444070270473,30.313722066666667,31.125999742857143,31.693166333333327,31.251489950677957,30.003149899999997,30.714937325,30.90172913999531,31.081117876256847,0.6991121662542534,31.83,31.487499733333326,0.6985559377255731
2015-03-18,30.792577579589658,29.279362,0.6793830557899425,17.506631299734753,31.881499719999994,31.460719230195643,31.424999400000008,31.55705050817043,30.623313478964466,261083600,-0.1942200124300808,0.6985423744951865,31.592501000000002,31.475,31.547132572727687,31.60939071483274,0.6968194858688617,31.75,0.6989955380160003,172879708.56819695,31.914749699999994,31.384999799999996,3.237831721203966,0.6912642315852772,30.46393645967163,30.420499844444446,31.264071171428572,31.687833133333324,31.318106108318116,30.1142499,30.838374825,30.969271965551126,31.147981239078987,0.6990718620978972,32.290001000000004,31.56933306666666,0.6985257680762711
2015-03-19,30.84537867326821,29.058284999999998,0.6360064446319538,16.61940912832709,31.907699759999993,31.50017454160558,31.57749960000001,31.614859506684898,30.677734632052967,183238000,-0.73958429706763,0.6932969883952935,31.85,31.8025,31.588116001136726,31.69792714322183,0.6890088363398996,32.1875,0.6942656272556803,9451222.081709415,31.902874749999995,31.412249699999997,3.28737355694253,0.6821136623218661,30.519272284782545,30.516499844444443,31.351142628571427,31.63916646666666,31.360944099985954,30.22044988,30.9505623,31.01959018968717,31.19488567526744,0.6931575655454497,32.3125,31.63549976666666,0.6917821747026633
2015-03-20,30.87609190871854,28.693634000000003,0.6708045557055629,15.155949876520625,31.90209975999999,31.497776966214573,31.692999800000006,31.58943050546946,30.71239834370284,274780400,-2.7799227799227757,0.6958903219865091,31.290001,31.672501,31.573976500994636,31.623618095481223,0.6930417751285697,32.0625,0.6965802547105667,-139812418.6720208,31.857874749999997,31.3947497,3.3695109373100425,0.6872289958289914,30.55675180302637,30.605944266666665,31.401142628571428,31.59649966666666,31.369717630756266,30.31119988,31.034937300000003,31.04489073470455,31.212957567185672,0.6960785514068134,32.099998,31.685166399999993,0.69515974113973
2015-03-23,30.921282547317634,28.992193,0.6341436445644497,16.354157138937154,31.903399759999992,31.52679820752747,31.806000000000004,31.62817041356592,30.759794067889672,150838800,-4.353383458646621,0.6912594259423644,31.629998999999998,30.844998999999998,31.602541938370308,31.68324539698748,0.6861903826242839,31.780001000000002,0.6923986496163553,-134141350.4983911,31.785499749999996,31.3964997,3.361198972672823,0.6792398359958317,30.60560467349592,30.719222044444447,31.472928314285713,31.565166399999995,31.403008582236556,30.38779988,31.123874775,31.086980138332073,31.250992562851113,0.690864087621643,31.9625,31.754166399999992,0.6892266056785947
2015-03-24,30.957927349887505,28.87368,0.581314715651559,15.8785365407482,31.891999799999994,31.540674663953425,31.78850020000001,31.636230520190296,30.799476977981424,131369200,-4.146172353786779,0.6841203053658674,31.639999,31.059998999999998,31.61128682107402,31.67966393132499,0.675650669870141,31.807501000000002,0.6859506566240282,-242430694.93986169,31.716999799999996,31.4509997,3.3400533079546326,0.6668702025559984,30.64744374512353,30.83422208888889,31.5304998,31.520666466666665,31.42373876821836,30.46119988,31.208812299999998,31.1195090750914,31.278186655570398,0.6828424604311019,32.009997999999996,31.81224976666666,0.6801058169449204
2015-03-25,30.95241864989299,28.119303000000002,0.6370519725212473,12.850997896277327,31.838599759999997,31.474419838815002,31.53400000000001,31.492370243792056,30.80145619633006,206620800,-4.200633850493595,0.6880287652466259,30.844998999999998,30.8125,31.515500843439767,31.40144228754999,0.6817956808744696,31.635,0.6894316634915478,-449051494.93986166,31.649374849999997,31.479499699999998,3.4823624404730884,0.6745954344537585,30.655191010020648,30.91566651111111,31.564285485714286,31.434666533333328,31.37922032450926,30.531849859999998,31.297812274999995,31.1042585153641,31.250239064888437,0.6872714239203244,31.705,31.823583099999997,0.6852456793179227
2015-03-26,30.95766647184943,28.315313,0.6236413780169977,13.637607244123284,31.796499759999996,31.434951187499287,31.37099980000001,31.413757290375315,30.812697187793972,190291600,-4.738540101211468,0.6854058815744787,30.65,31.592501000000002,31.458563113009795,31.287627858366662,0.6780691248453206,30.690001000000002,0.6870430102217168,-365590454.2917204,31.572124799999994,31.474249699999994,3.6032895677712258,0.6704115770756082,30.67106583315709,30.997277577777776,31.59771405714286,31.398499733333328,31.354664838008546,30.601949839999996,31.353624774999997,31.10179965339943,31.23796551231499,0.6843396133223163,31.219998999999998,31.81824976666666,0.6819529170516964
2015-03-27,30.9505851805397,28.089678000000003,0.5884127024135981,12.732095490716189,31.733999759999996,31.375670122023166,31.23849980000001,31.304437783034345,30.812688614411623,158184800,-4.055743169500671,0.6801190397617124,30.727501,31.1075,31.37780522388357,31.129251905577775,0.67038342068381,31.1425,0.6822521100172824,-463683142.97412795,31.506999699999994,31.465749799999998,3.765360636145328,0.6614950339925838,30.6766122710725,31.057555355555557,31.621356885714288,31.342666399999995,31.312959850469426,30.66919982,31.380812275,31.085727450432792,31.2105161244237,0.6784185729892583,31.174999,31.79149976666666,0.6752542051359336
2015-03-30,30.98189814734264,28.800749,0.6282301619308788,15.585844690386907,31.667699799999994,31.39632068183048,31.196500000000007,31.356812913391735,30.846593500741555,188398800,-2.1070509600139555,0.6825052833225633,31.0,31.0625,31.404642195898123,31.283668270385185,0.6742873066610163,31.012501,0.6843570678169367,-279993684.9781275,31.47299979999999,31.50125,3.837988919603974,0.6665352326328805,30.712529476128484,31.131944244444448,31.674499771428575,31.32983313333333,31.334463015817935,30.766949840000002,31.438374775,31.113881536519855,31.235160309944757,0.6811456086645269,31.6,31.785583133333326,0.6784612278463356
